size of the array,time of ArrayStack,time of LinkedListStack
1,3250.0,254792.0
2,792.0,917.0
3,250.0,333.0
4,166.0,375.0
5,125.0,250.0
6,83.0,208.0
7,83.0,208.0
8,83.0,167.0
9,83.0,208.0
10,83.0,208.0
11,84.0,209.0
12,125.0,250.0
13,83.0,167.0
14,42.0,208.0
15,83.0,167.0
16,83.0,209.0
17,83.0,167.0
18,83.0,167.0
19,83.0,167.0
20,125.0,208.0
21,84.0,209.0
22,42.0,208.0
23,83.0,208.0
24,83.0,209.0
25,83.0,208.0
26,84.0,208.0
27,84.0,209.0
28,125.0,167.0
29,84.0,209.0
30,84.0,208.0
31,125.0,166.0
32,83.0,208.0
33,208.0,292.0
34,125.0,250.0
35,125.0,208.0
36,83.0,208.0
37,125.0,167.0
38,83.0,208.0
39,125.0,167.0
40,83.0,208.0
41,83.0,166.0
42,41.0,167.0
43,84.0,167.0
44,83.0,208.0
45,83.0,208.0
46,292.0,167.0
47,83.0,167.0
48,83.0,208.0
49,125.0,209.0
50,83.0,167.0
51,83.0,209.0
52,83.0,208.0
53,84.0,167.0
54,167.0,208.0
55,41.0,208.0
56,125.0,208.0
57,83.0,208.0
58,83.0,167.0
59,83.0,209.0
60,83.0,166.0
61,83.0,209.0
62,208.0,209.0
63,83.0,458.0
64,84.0,208.0
65,125.0,208.0
66,83.0,208.0
67,84.0,208.0
68,84.0,167.0
69,125.0,208.0
70,208.0,167.0
71,125.0,208.0
72,125.0,209.0
73,125.0,166.0
74,83.0,167.0
75,125.0,208.0
76,83.0,208.0
77,84.0,167.0
78,209.0,166.0
79,84.0,209.0
80,84.0,166.0
81,83.0,166.0
82,125.0,167.0
83,125.0,166.0
84,83.0,167.0
85,83.0,167.0
86,209.0,166.0
87,125.0,166.0
88,83.0,166.0
89,83.0,209.0
90,125.0,209.0
91,125.0,167.0
92,83.0,209.0
93,125.0,166.0
94,208.0,167.0
95,84.0,167.0
96,84.0,166.0
97,83.0,208.0
98,83.0,208.0
99,84.0,208.0
100,83.0,208.0
101,2250.0,208.0
102,125.0,208.0
103,83.0,209.0
104,125.0,250.0
105,84.0,209.0
106,83.0,166.0
107,83.0,166.0
108,83.0,167.0
109,83.0,209.0
110,83.0,167.0
111,83.0,209.0
112,83.0,209.0
113,83.0,167.0
114,83.0,208.0
115,83.0,208.0
116,83.0,208.0
117,42.0,166.0
118,84.0,166.0
119,125.0,167.0
120,84.0,167.0
121,125.0,167.0
122,125.0,167.0
123,83.0,167.0
124,83.0,166.0
125,83.0,167.0
126,84.0,166.0
127,167.0,750.0
128,625.0,833.0
129,209.0,250.0
130,167.0,250.0
131,167.0,291.0
132,334.0,250.0
133,125.0,167.0
134,83.0,209.0
135,41.0,167.0
136,84.0,167.0
137,83.0,208.0
138,83.0,166.0
139,83.0,167.0
140,83.0,209.0
141,41.0,125.0
142,83.0,167.0
143,83.0,125.0
144,83.0,167.0
145,42.0,125.0
146,41.0,125.0
147,42.0,125.0
148,42.0,166.0
149,42.0,208.0
150,41.0,125.0
151,83.0,208.0
152,83.0,167.0
153,42.0,166.0
154,84.0,208.0
155,41.0,125.0
156,84.0,166.0
157,83.0,167.0
158,83.0,167.0
159,83.0,167.0
160,42.0,167.0
161,83.0,167.0
162,42.0,167.0
163,42.0,167.0
164,42.0,125.0
165,42.0,167.0
166,42.0,167.0
167,41.0,167.0
168,42.0,166.0
169,83.0,167.0
170,84.0,166.0
171,84.0,125.0
172,83.0,167.0
173,42.0,167.0
174,83.0,167.0
175,42.0,166.0
176,41.0,167.0
177,42.0,167.0
178,42.0,166.0
179,42.0,167.0
180,83.0,167.0
181,41.0,125.0
182,41.0,125.0
183,41.0,167.0
184,84.0,125.0
185,41.0,167.0
186,83.0,125.0
187,125.0,167.0
188,84.0,166.0
189,42.0,166.0
190,41.0,167.0
191,42.0,167.0
192,42.0,125.0
193,84.0,167.0
194,83.0,167.0
195,83.0,167.0
196,42.0,166.0
197,42.0,166.0
198,83.0,167.0
199,41.0,167.0
200,41.0,167.0
201,3708.0,208.0
202,125.0,167.0
203,83.0,167.0
204,42.0,125.0
205,84.0,125.0
206,84.0,166.0
207,83.0,167.0
208,83.0,125.0
209,42.0,166.0
210,83.0,167.0
211,83.0,167.0
212,42.0,166.0
213,42.0,167.0
214,42.0,167.0
215,42.0,166.0
216,84.0,125.0
217,42.0,167.0
218,83.0,167.0
219,41.0,167.0
220,42.0,166.0
221,83.0,167.0
222,42.0,167.0
223,83.0,167.0
224,41.0,167.0
225,83.0,167.0
226,83.0,167.0
227,83.0,167.0
228,41.0,167.0
229,42.0,125.0
230,42.0,125.0
231,84.0,125.0
232,83.0,167.0
233,84.0,166.0
234,83.0,167.0
235,42.0,166.0
236,83.0,167.0
237,41.0,167.0
238,41.0,167.0
239,42.0,167.0
240,42.0,167.0
241,42.0,125.0
242,41.0,167.0
243,42.0,125.0
244,125.0,166.0
245,42.0,125.0
246,41.0,125.0
247,42.0,125.0
248,42.0,125.0
249,83.0,167.0
250,83.0,1250.0
251,83.0,209.0
252,41.0,125.0
253,84.0,166.0
254,41.0,125.0
255,42.0,125.0
256,250.0,625.0
257,208.0,250.0
258,84.0,250.0
259,83.0,209.0
260,41.0,125.0
261,84.0,166.0
262,42.0,125.0
263,83.0,167.0
264,83.0,167.0
265,84.0,166.0
266,42.0,166.0
267,83.0,125.0
268,42.0,125.0
269,42.0,125.0
270,42.0,125.0
271,83.0,125.0
272,83.0,125.0
273,83.0,167.0
274,125.0,208.0
275,83.0,166.0
276,83.0,167.0
277,83.0,167.0
278,41.0,125.0
279,83.0,167.0
280,84.0,125.0
281,42.0,167.0
282,83.0,167.0
283,41.0,167.0
284,83.0,167.0
285,42.0,166.0
286,83.0,125.0
287,84.0,166.0
288,125.0,125.0
289,125.0,167.0
290,42.0,125.0
291,42.0,125.0
292,42.0,166.0
293,41.0,125.0
294,84.0,166.0
295,42.0,125.0
296,125.0,167.0
297,83.0,167.0
298,42.0,125.0
299,42.0,125.0
300,83.0,125.0
301,83.0,209.0
302,84.0,166.0
303,83.0,167.0
304,84.0,166.0
305,42.0,167.0
306,84.0,166.0
307,83.0,167.0
308,84.0,167.0
309,42.0,166.0
310,42.0,125.0
311,83.0,167.0
312,1625.0,167.0
313,84.0,166.0
314,83.0,125.0
315,42.0,167.0
316,84.0,167.0
317,84.0,166.0
318,83.0,167.0
319,42.0,125.0
